id;trait;name;quest_bonus
579;AURORA;Atlantis Athena's Spear;23
580;CHAOS;Transcendent Demeter's Scythe;17
581;CHAOS;Amethyst Demeter's Scythe;17
582;CHAOS;Atlantis Zeus' Thunderbolt;20
583;AURORA;Adamantine Demeter's Scythe;24
584;REFLECTION;Amethyst Demeter's Scythe;35
585;CHAOS;Mythic Poseidon's Trident;18
586;CHAOS;Emerald Poseidon's Trident;20
587;AURORA;Mythic Hephaestus' Hammer;21
588;PURIFICATION;Adamantine Artemis' Bow;14
589;PURIFICATION;Amethyst Hermes' Wings;15
590;AURORA;Amethyst Athena's Spear;23
591;PURIFICATION;Agno Athena's Spear;16
592;CHAOS;Golden Artemis' Bow;19
593;PURIFICATION;Toxic Ares' Spear;12
594;CHAOS;Mythic Hephaestus' Hammer;18
595;CONJUNCTION;Transcendent Ares' Sword;27
596;AURORA;Transcendent Hephaestus' Hammer;24
597;AURORA;Atlantis The Aegis;24
598;AURORA;Agno Hera's Staff;25
599;AGNO;Atlantis Artemis' Quiver;47
600;CONJUNCTION;Emerald Hades' Bident;28
601;PURIFICATION;Amethyst Hera's Staff;12
602;AURORA;Skybound Artemis' Bow;21
603;PURIFICATION;Mercuris Athena's Spear;12
604;CHAOS;Adamantine Hera's Staff;17
605;CHAOS;Golden Artemis' Quiver;19
606;PURIFICATION;Toxic Artemis' Quiver;13
607;PURIFICATION;Transcendent Athena's Spear;16
608;CHAOS;Golden Apollo's Lyre;18
609;AURORA;Transcendent Ares' Spear;25
610;CHAOS;Mythic Hades' Bident;18
611;CHAOS;Skybound Poseidon's Trident;18
612;PURIFICATION;Golden Hades' Bident;13
613;CONJUNCTION;Golden Hermes' Wings;26
614;CHAOS;Atlantis Ares' Spear;18
615;CHAOS;Atlantis Ares' Sword;20
616;PURIFICATION;Adamantine Zeus' Thunderbolt;15
617;CHAOS;Skybound Ares' Sword;18
618;ASTRAL;Coral Zeus' Thunderbolt;39
619;PURIFICATION;Adamantine Artemis' Bow;14
620;PURIFICATION;Amethyst The Aegis;14
621;CHAOS;Adamantine Apollo's Lyre;20
622;PURIFICATION;Mythic The Aegis;12
623;AURORA;Atlantis Demeter's Scythe;22
624;AURORA;Atlantis Hera's Staff;24
625;CONJUNCTION;Mythic Artemis' Quiver;26
626;PURIFICATION;Emerald Athena's Spear;15
627;CHAOS;Atlantis The Aegis;19
628;AURORA;Golden Ares' Spear;22
629;CHAOS;Skybound Zeus' Thunderbolt;20
630;CHAOS;Adamantine Hera's Staff;19
631;REFLECTION;Mythic Artemis' Quiver;33
632;AURORA;Agno Demeter's Scythe;24
633;AURORA;Skybound Apollo's Lyre;24
634;PURIFICATION;Amethyst Athena's Spear;11
635;PURIFICATION;Coral Hermes' Wings;16
636;PURIFICATION;Mercuris Artemis' Quiver;13
637;PURIFICATION;Coral Hades' Bident;11
638;CHAOS;Golden Artemis' Quiver;19
639;PURIFICATION;Atlantis Hermes' Wings;10
640;PURIFICATION;Golden Athena's Spear;13
641;AURORA;Emerald Apollo's Lyre;22
642;AURORA;Mythic Athena's Spear;25
643;REFLECTION;Golden Hades' Bident;33
644;PURIFICATION;Skybound Athena's Spear;11
645;PURIFICATION;Emerald Ares' Sword;11
646;CHAOS;Skybound Hades' Bident;18
647;CONJUNCTION;Emerald Ares' Sword;28
648;AURORA;Skybound The Aegis;23
649;CHAOS;Adamantine Artemis' Quiver;17
650;PURIFICATION;Skybound Athena's Spear;10
651;CHAOS;Golden Zeus' Thunderbolt;19
652;CHAOS;Mythic Ares' Sword;18
653;CONJUNCTION;Adamantine The Aegis;26
654;CHAOS;Golden Artemis' Bow;18
655;PURIFICATION;Toxic Hades' Bident;16
656;CHAOS;Transcendent Zeus' Thunderbolt;20
657;CHAOS;Skybound Hephaestus' Hammer;19
658;PURIFICATION;Coral Hades' Bident;11
659;CHAOS;Skybound Hephaestus' Hammer;19
660;AURORA;Agno Apollo's Lyre;24
661;AURORA;Transcendent Ares' Sword;21
662;PURIFICATION;Emerald Poseidon's Trident;13
663;CHAOS;Emerald Apollo's Lyre;19
664;PURIFICATION;Coral Demeter's Scythe;14
665;CHAOS;Emerald The Aegis;20
666;AURORA;Emerald Poseidon's Trident;24
667;CHAOS;Skybound Artemis' Quiver;19
668;PURIFICATION;Atlantis Hephaestus' Hammer;11
669;REFLECTION;Atlantis Zeus' Thunderbolt;35
670;AURORA;Mythic The Aegis;22
671;PURIFICATION;Skybound The Aegis;11
672;PURIFICATION;Coral Ares' Spear;13
673;CONJUNCTION;Skybound Poseidon's Trident;26
674;PURIFICATION;Transcendent Zeus' Thunderbolt;13
675;AURORA;Coral Hephaestus' Hammer;23
676;CONJUNCTION;Transcendent Athena's Spear;27
677;CONJUNCTION;Skybound Hephaestus' Hammer;29
678;CHAOS;Golden Demeter's Scythe;18
679;PURIFICATION;Amethyst The Aegis;15
680;CHAOS;Adamantine Hephaestus' Hammer;18
681;REFLECTION;Mercuris Zeus' Thunderbolt;31
682;AURORA;Mercuris Hera's Staff;23
683;PURIFICATION;Atlantis Apollo's Lyre;12
684;AURORA;Transcendent Ares' Sword;22
685;CHAOS;Atlantis Zeus' Thunderbolt;18
686;AURORA;Coral Hephaestus' Hammer;22
687;AURORA;Mythic Apollo's Lyre;21
688;AURORA;Mythic The Aegis;21
689;PURIFICATION;Skybound Hephaestus' Hammer;13
690;CHAOS;Skybound Hades' Bident;18
691;PURIFICATION;Amethyst Poseidon's Trident;14
692;CHAOS;Adamantine Ares' Spear;20
693;PURIFICATION;Coral Apollo's Lyre;11
694;CHAOS;Emerald Poseidon's Trident;20
695;CONJUNCTION;Agno Apollo's Lyre;26
696;CHAOS;Atlantis Zeus' Thunderbolt;20
697;AURORA;Golden Apollo's Lyre;25
698;CHAOS;Coral Hephaestus' Hammer;18
699;AURORA;Adamantine Zeus' Thunderbolt;22
700;PURIFICATION;Mercuris Hermes' Wings;10
701;CONJUNCTION;Skybound Hades' Bident;27
702;AURORA;Coral Ares' Spear;23
703;CHAOS;Emerald Apollo's Lyre;18
704;AURORA;Transcendent Ares' Spear;25
705;AURORA;Golden Artemis' Quiver;25
706;AURORA;Skybound The Aegis;25
707;CONJUNCTION;Mythic Athena's Spear;27
708;PURIFICATION;Transcendent Hephaestus' Hammer;14
709;PURIFICATION;Amethyst Hades' Bident;16
710;PURIFICATION;Atlantis Hephaestus' Hammer;13
711;CHAOS;Golden Poseidon's Trident;19
712;CHAOS;Toxic Hera's Staff;20
713;REFLECTION;Golden Ares' Spear;33
714;PURIFICATION;Adamantine Zeus' Thunderbolt;15
715;CHAOS;Skybound Ares' Sword;20
716;CHAOS;Adamantine Hermes' Wings;17
717;AURORA;Skybound Ares' Sword;23
718;CHAOS;Mythic Athena's Spear;18
719;CONJUNCTION;Emerald Zeus' Thunderbolt;28
720;PURIFICATION;Coral The Aegis;13
721;CONJUNCTION;Golden Artemis' Quiver;28
722;AURORA;Skybound Ares' Sword;22
723;AURORA;Skybound Athena's Spear;25
724;AURORA;Coral Athena's Spear;22
725;CHAOS;Golden Ares' Spear;19
726;AURORA;Skybound The Aegis;22
727;PURIFICATION;Toxic Hera's Staff;13
728;CHAOS;Coral The Aegis;20
729;CONJUNCTION;Mythic Athena's Spear;28
730;CONJUNCTION;Emerald Artemis' Quiver;27
731;CONJUNCTION;Amethyst Hermes' Wings;26
732;CHAOS;Toxic Athena's Spear;18
733;CHAOS;Mythic Artemis' Quiver;18
734;AURORA;Adamantine Poseidon's Trident;25
735;PURIFICATION;Emerald Poseidon's Trident;13
736;PURIFICATION;Atlantis Demeter's Scythe;16
737;CHAOS;Skybound Hephaestus' Hammer;19
738;PURIFICATION;Mercuris Artemis' Quiver;14
739;PURIFICATION;Amethyst Hades' Bident;10
740;AURORA;Mercuris Hera's Staff;21
741;REFLECTION;Coral Demeter's Scythe;32
742;PURIFICATION;Golden Artemis' Quiver;13
743;CHAOS;Toxic Athena's Spear;18
744;PURIFICATION;Mythic Artemis' Quiver;11
745;PURIFICATION;Adamantine Zeus' Thunderbolt;11
746;ASTRAL;Emerald Demeter's Scythe;38
747;CHAOS;Mercuris Zeus' Thunderbolt;19
748;AURORA;Adamantine Artemis' Quiver;23
749;PURIFICATION;Transcendent Hephaestus' Hammer;16
750;PURIFICATION;Atlantis Zeus' Thunderbolt;14
751;PURIFICATION;Transcendent Hephaestus' Hammer;11
752;CHAOS;Adamantine Artemis' Quiver;18
753;PURIFICATION;Skybound Zeus' Thunderbolt;15
754;CHAOS;Adamantine The Aegis;20
755;PURIFICATION;Skybound Hephaestus' Hammer;15
756;PURIFICATION;Atlantis Hades' Bident;14
757;AURORA;Agno Apollo's Lyre;24
758;PURIFICATION;Emerald Ares' Spear;10
759;PURIFICATION;Mercuris Athena's Spear;13
760;PURIFICATION;Adamantine Zeus' Thunderbolt;15
761;AURORA;Golden Hermes' Wings;21
762;CHAOS;Adamantine Artemis' Bow;18
763;PURIFICATION;Emerald Artemis' Quiver;12
764;CONJUNCTION;Golden Ares' Sword;28
765;AURORA;Transcendent Poseidon's Trident;21
766;AURORA;Skybound Poseidon's Trident;23
767;CONJUNCTION;Skybound Ares' Sword;27
768;REFLECTION;Adamantine Hades' Bident;32
769;PURIFICATION;Coral Artemis' Bow;11
770;CONJUNCTION;Golden Ares' Sword;29
771;CHAOS;Agno Hermes' Wings;17
772;PURIFICATION;Mythic Ares' Sword;11
773;PURIFICATION;Agno Hermes' Wings;12
774;PURIFICATION;Skybound Artemis' Bow;16
775;CHAOS;Mythic Artemis' Bow;19
776;CHAOS;Transcendent Hephaestus' Hammer;17
777;CONJUNCTION;Adamantine Zeus' Thunderbolt;29
778;AURORA;Transcendent Apollo's Lyre;23
779;PURIFICATION;Amethyst Hera's Staff;11
780;PURIFICATION;Golden Artemis' Bow;15
781;REFLECTION;Agno Athena's Spear;33
782;CHAOS;Amethyst Apollo's Lyre;19
783;ASTRAL;Adamantine Ares' Spear;41
784;PURIFICATION;Transcendent Ares' Spear;10
785;PURIFICATION;Mythic Ares' Sword;12
786;AURORA;Emerald Apollo's Lyre;22
787;PURIFICATION;Skybound Hera's Staff;10
788;REFLECTION;Skybound The Aegis;35
789;PURIFICATION;Coral Ares' Sword;12
790;CHAOS;Toxic The Aegis;18
791;PURIFICATION;Mythic Hermes' Wings;16
792;AURORA;Atlantis Hades' Bident;24
793;CONJUNCTION;Adamantine Artemis' Bow;29
794;CONJUNCTION;Amethyst The Aegis;30
795;CHAOS;Atlantis Athena's Spear;20
796;AURORA;Amethyst Hermes' Wings;22
797;PURIFICATION;Transcendent Demeter's Scythe;15
798;AURORA;Transcendent Artemis' Quiver;21
799;AURORA;Golden The Aegis;22
800;PURIFICATION;Golden Hades' Bident;13
801;CONJUNCTION;Mythic Apollo's Lyre;27
802;AURORA;Coral Artemis' Bow;25
803;AURORA;Atlantis Hermes' Wings;21
804;CHAOS;Golden Hermes' Wings;19
805;CHAOS;Coral The Aegis;19
806;AURORA;Atlantis The Aegis;23
807;CHAOS;Atlantis Hermes' Wings;20
808;PURIFICATION;Golden Ares' Spear;12
809;PURIFICATION;Atlantis Hephaestus' Hammer;15
810;CHAOS;Golden The Aegis;20
811;CONJUNCTION;Coral Zeus' Thunderbolt;28
812;CHAOS;Skybound Hera's Staff;19
813;CHAOS;Atlantis Hades' Bident;17
814;CHAOS;Golden Apollo's Lyre;17
815;CHAOS;Golden Zeus' Thunderbolt;18
816;CHAOS;Transcendent Demeter's Scythe;19
817;PURIFICATION;Golden Athena's Spear;11
818;CHAOS;Mercuris Hephaestus' Hammer;18
819;PURIFICATION;Mercuris Hades' Bident;15
820;PURIFICATION;Skybound Poseidon's Trident;13
821;PURIFICATION;Golden Hephaestus' Hammer;11
822;CHAOS;Emerald Apollo's Lyre;17
823;PURIFICATION;Atlantis Apollo's Lyre;11
824;CONJUNCTION;Atlantis Ares' Sword;28
825;CONJUNCTION;Adamantine Artemis' Bow;27
826;CHAOS;Agno Hades' Bident;18
827;CHAOS;Adamantine Artemis' Quiver;18
828;CHAOS;Amethyst Hades' Bident;20
829;CONJUNCTION;Coral Demeter's Scythe;28
830;CHAOS;Atlantis Poseidon's Trident;20
831;PURIFICATION;Skybound Artemis' Bow;16
832;PURIFICATION;Coral Hephaestus' Hammer;11
833;CONJUNCTION;Emerald Apollo's Lyre;30
834;CHAOS;Emerald Demeter's Scythe;18
835;CHAOS;Golden Hermes' Wings;20
836;CONJUNCTION;Skybound Ares' Spear;30
837;CONJUNCTION;Adamantine Demeter's Scythe;27
838;AURORA;Adamantine Artemis' Quiver;22
839;CHAOS;Golden Artemis' Quiver;18
840;CONJUNCTION;Adamantine Apollo's Lyre;27
841;PURIFICATION;Adamantine Ares' Sword;15
842;PURIFICATION;Mercuris Ares' Spear;12
843;CHAOS;Skybound Artemis' Bow;17
844;CHAOS;Amethyst Hera's Staff;19
845;PURIFICATION;Adamantine Hera's Staff;12
846;PURIFICATION;Skybound Hades' Bident;15
847;AURORA;Transcendent Hermes' Wings;21
848;CHAOS;Mythic Ares' Spear;18
849;PURIFICATION;Golden Artemis' Bow;14
850;CHAOS;Atlantis Athena's Spear;18
851;CHAOS;Golden Athena's Spear;18
852;PURIFICATION;Amethyst Ares' Spear;11
853;CHAOS;Adamantine Ares' Spear;19
854;CHAOS;Skybound Hades' Bident;17
855;PURIFICATION;Coral Athena's Spear;16
856;CHAOS;Mercuris Hades' Bident;18
857;CHAOS;Transcendent Poseidon's Trident;19
858;AURORA;Golden Hades' Bident;24
859;PURIFICATION;Mythic Ares' Sword;12
860;REFLECTION;Atlantis Ares' Sword;31
861;AURORA;Skybound Hermes' Wings;23
862;CHAOS;Coral The Aegis;20
863;CHAOS;Emerald Ares' Spear;17
864;AURORA;Atlantis Apollo's Lyre;21
865;PURIFICATION;Mythic Demeter's Scythe;12
866;CHAOS;Skybound Apollo's Lyre;20
867;CHAOS;Adamantine Zeus' Thunderbolt;18
868;CHAOS;Skybound Demeter's Scythe;18
869;PURIFICATION;Adamantine Demeter's Scythe;15
870;PURIFICATION;Mythic Demeter's Scythe;13
871;CHAOS;Golden Demeter's Scythe;17
872;CHAOS;Mythic Hermes' Wings;20
873;AURORA;Coral Demeter's Scythe;21
874;PURIFICATION;Golden Zeus' Thunderbolt;15
875;PURIFICATION;Mythic The Aegis;13
876;CONJUNCTION;Skybound Artemis' Bow;27
877;PURIFICATION;Coral Zeus' Thunderbolt;11
878;CHAOS;Adamantine Artemis' Bow;19
879;CHAOS;Coral Ares' Spear;17
880;CHAOS;Coral Hades' Bident;17
881;CHAOS;Golden Zeus' Thunderbolt;20
882;CHAOS;Amethyst Zeus' Thunderbolt;20
883;PURIFICATION;Adamantine Artemis' Quiver;16
884;PURIFICATION;Skybound Artemis' Bow;15
885;CHAOS;Skybound Ares' Sword;18
886;PURIFICATION;Toxic Artemis' Quiver;14
887;AURORA;Golden Zeus' Thunderbolt;25
888;CHAOS;Amethyst Zeus' Thunderbolt;18
889;AURORA;Atlantis Artemis' Bow;21
890;PURIFICATION;Amethyst Hephaestus' Hammer;15
891;CHAOS;Emerald Hermes' Wings;18
892;CONJUNCTION;Amethyst Apollo's Lyre;30
893;CHAOS;Atlantis Apollo's Lyre;17
894;CHAOS;Skybound Athena's Spear;20
895;PURIFICATION;Coral Hades' Bident;15
896;PURIFICATION;Golden Hera's Staff;16
897;AURORA;Adamantine The Aegis;22
898;ASTRAL;Amethyst Poseidon's Trident;41
899;PURIFICATION;Mythic Artemis' Bow;13
900;PURIFICATION;Mythic Artemis' Bow;15
901;CHAOS;Mythic The Aegis;18
902;PURIFICATION;Atlantis Hera's Staff;15
903;PURIFICATION;Coral Zeus' Thunderbolt;15
904;CONJUNCTION;Transcendent Poseidon's Trident;30
905;CHAOS;Agno Zeus' Thunderbolt;19
906;PURIFICATION;Atlantis Poseidon's Trident;11
907;AURORA;Coral Demeter's Scythe;22
908;CHAOS;Amethyst Hera's Staff;20
909;AURORA;Coral Hermes' Wings;25
910;CHAOS;Mythic Ares' Sword;17
911;PURIFICATION;Emerald Hera's Staff;14
912;PURIFICATION;Coral Zeus' Thunderbolt;15
913;CONJUNCTION;Emerald Demeter's Scythe;26
914;CHAOS;Mercuris The Aegis;17
915;AURORA;Coral Hera's Staff;24
916;PURIFICATION;Adamantine Ares' Spear;13
917;AURORA;Golden Hermes' Wings;22
918;AURORA;Toxic Poseidon's Trident;22
919;CHAOS;Atlantis Artemis' Quiver;20
920;PURIFICATION;Transcendent Athena's Spear;11
921;CHAOS;Amethyst Hera's Staff;17
922;CONJUNCTION;Amethyst Hades' Bident;27
923;AURORA;Amethyst Ares' Sword;25
924;PURIFICATION;Toxic Athena's Spear;10
925;AURORA;Adamantine Hades' Bident;23
926;AURORA;Atlantis Zeus' Thunderbolt;23
927;PURIFICATION;Emerald Hermes' Wings;14
928;AURORA;Skybound Hera's Staff;24
929;AURORA;Toxic Demeter's Scythe;21
930;PURIFICATION;Mercuris Artemis' Bow;11
931;AURORA;Agno Ares' Sword;25
932;PURIFICATION;Toxic Hades' Bident;14
933;PURIFICATION;Transcendent Hermes' Wings;14
934;AURORA;Amethyst Poseidon's Trident;24
935;AURORA;Adamantine Ares' Sword;24
936;AURORA;Transcendent Hera's Staff;25
937;CONJUNCTION;Golden Ares' Spear;26
938;AURORA;Mythic Zeus' Thunderbolt;21
939;CHAOS;Toxic Artemis' Bow;19
940;AURORA;Mercuris Apollo's Lyre;25
941;CHAOS;Mercuris Hades' Bident;18
942;CHAOS;Atlantis The Aegis;18
943;ASTRAL;Skybound Hera's Staff;38
944;CHAOS;Adamantine Hades' Bident;20
945;CHAOS;Adamantine Hephaestus' Hammer;17
946;REFLECTION;Golden Athena's Spear;35
947;AURORA;Adamantine Hermes' Wings;25
948;AURORA;Agno Athena's Spear;24
949;PURIFICATION;Amethyst Artemis' Bow;11
950;CHAOS;Agno Artemis' Bow;17
951;PURIFICATION;Agno Zeus' Thunderbolt;14
952;AURORA;Transcendent The Aegis;23
953;PURIFICATION;Golden Hades' Bident;10
954;CHAOS;Toxic The Aegis;17
955;AURORA;Amethyst Hades' Bident;23
956;AURORA;Mercuris Ares' Spear;24
957;AURORA;Mercuris Ares' Spear;25
958;PURIFICATION;Agno Hermes' Wings;16
959;AURORA;Transcendent Hephaestus' Hammer;21
960;CHAOS;Mercuris Poseidon's Trident;20
961;CHAOS;Adamantine Poseidon's Trident;18
962;CHAOS;Mercuris Artemis' Bow;20
963;AURORA;Mercuris Hera's Staff;24
964;CHAOS;Golden Ares' Spear;18
965;AURORA;Mercuris Hades' Bident;21
966;PURIFICATION;Skybound Ares' Sword;12
967;CHAOS;Mythic The Aegis;19
968;AURORA;Adamantine Artemis' Quiver;22
969;CONJUNCTION;Emerald Ares' Spear;28
970;AURORA;Atlantis Demeter's Scythe;23
971;CHAOS;Agno Athena's Spear;19
972;CONJUNCTION;Amethyst Poseidon's Trident;28
973;PURIFICATION;Amethyst Demeter's Scythe;12
974;CONJUNCTION;Skybound Zeus' Thunderbolt;27
975;AURORA;Atlantis Hera's Staff;22
976;AURORA;Skybound Demeter's Scythe;22
977;PURIFICATION;Coral Ares' Spear;14
978;CHAOS;Emerald Hades' Bident;19
979;PURIFICATION;Atlantis Hermes' Wings;13
980;PURIFICATION;Amethyst Hera's Staff;16
981;CHAOS;Golden Zeus' Thunderbolt;20
982;AURORA;Toxic Hera's Staff;23
983;CHAOS;Adamantine Poseidon's Trident;20
984;CHAOS;Mythic The Aegis;17
985;CHAOS;Skybound Ares' Spear;18
986;PURIFICATION;Coral Zeus' Thunderbolt;15
987;PURIFICATION;Amethyst Demeter's Scythe;15
988;AURORA;Coral Hera's Staff;23
989;REFLECTION;Adamantine Hera's Staff;31
990;PURIFICATION;Amethyst Poseidon's Trident;11
991;CHAOS;Mythic Poseidon's Trident;20
992;CHAOS;Atlantis Ares' Spear;20
993;AURORA;Amethyst Ares' Sword;25
994;CHAOS;Skybound Ares' Spear;17
995;PURIFICATION;Emerald Apollo's Lyre;15
996;PURIFICATION;Skybound Ares' Spear;10
997;AURORA;Mythic The Aegis;25
998;PURIFICATION;Transcendent Hades' Bident;11
999;AURORA;Mercuris Poseidon's Trident;23
1000;AURORA;Adamantine Hades' Bident;21
1001;PURIFICATION;Adamantine The Aegis;15
1002;PURIFICATION;Golden Zeus' Thunderbolt;10
1003;CHAOS;Golden Poseidon's Trident;20
1004;AURORA;Skybound Ares' Spear;23
1005;CONJUNCTION;Amethyst Hades' Bident;27
1006;CHAOS;Atlantis Ares' Spear;19
1007;CHAOS;Atlantis Hades' Bident;20
1008;PURIFICATION;Golden Apollo's Lyre;15
1009;CONJUNCTION;Mercuris Hermes' Wings;28
1010;CHAOS;Atlantis Demeter's Scythe;18
1011;AURORA;Mythic The Aegis;22
1012;AURORA;Transcendent Artemis' Quiver;21
1013;CHAOS;Atlantis Ares' Sword;18
1014;PURIFICATION;Adamantine Ares' Spear;10
1015;CHAOS;Mercuris Ares' Spear;20
1016;AURORA;Adamantine Zeus' Thunderbolt;21
1017;AURORA;Emerald Poseidon's Trident;21
1018;CHAOS;Mercuris Hera's Staff;17
1019;AURORA;Skybound Hera's Staff;24
1020;CHAOS;Coral Hermes' Wings;20
1021;CHAOS;Emerald Artemis' Quiver;18
1022;PURIFICATION;Toxic Hades' Bident;14
1023;AURORA;Mercuris Athena's Spear;24
1024;CONJUNCTION;Agno Hades' Bident;26
1025;AURORA;Golden Ares' Sword;21
1026;AURORA;Adamantine Hades' Bident;23
1027;PURIFICATION;Adamantine The Aegis;11
1028;CONJUNCTION;Coral Hephaestus' Hammer;28
1029;PURIFICATION;Coral Demeter's Scythe;16
1030;CHAOS;Coral Poseidon's Trident;19
1031;CHAOS;Adamantine Hermes' Wings;20
1032;CHAOS;Transcendent Artemis' Quiver;17
1033;CHAOS;Adamantine Zeus' Thunderbolt;17
1034;CHAOS;Adamantine Hermes' Wings;20
1035;CHAOS;Golden Ares' Sword;17
1036;AURORA;Toxic Hephaestus' Hammer;22
1037;CHAOS;Adamantine Artemis' Bow;19
1038;CHAOS;Mythic Hermes' Wings;20
1039;AURORA;Agno Athena's Spear;25
1040;PURIFICATION;Skybound Hera's Staff;15
1041;AURORA;Mythic Poseidon's Trident;23
1042;CONJUNCTION;Adamantine Demeter's Scythe;26
1043;REFLECTION;Adamantine Hermes' Wings;32
1044;PURIFICATION;Mythic Hephaestus' Hammer;14
1045;CHAOS;Agno Hades' Bident;20
1046;AURORA;Toxic Poseidon's Trident;25
1047;PURIFICATION;Toxic Poseidon's Trident;16
1048;PURIFICATION;Coral Athena's Spear;10
1049;CHAOS;Golden Artemis' Quiver;17
1050;PURIFICATION;Emerald Zeus' Thunderbolt;13
1051;CHAOS;Atlantis Hades' Bident;19
1052;CHAOS;Adamantine The Aegis;20
1053;AURORA;Atlantis Hera's Staff;21
1054;PURIFICATION;Coral The Aegis;13
1055;PURIFICATION;Transcendent Ares' Spear;10
1056;PURIFICATION;Atlantis Hephaestus' Hammer;16
1057;PURIFICATION;Skybound Zeus' Thunderbolt;16
1058;CHAOS;Adamantine The Aegis;17
1059;PURIFICATION;Atlantis Artemis' Quiver;14
1060;REFLECTION;Amethyst Artemis' Quiver;31
1061;AURORA;Adamantine Apollo's Lyre;23
1062;CHAOS;Skybound The Aegis;19
1063;CHAOS;Skybound Hades' Bident;19
1064;CHAOS;Skybound Hera's Staff;20
1065;AURORA;Transcendent Artemis' Quiver;24
1066;CHAOS;Coral Hera's Staff;20
1067;AURORA;Amethyst Hades' Bident;21
1068;CHAOS;Golden Hephaestus' Hammer;17
1069;AURORA;Emerald Hermes' Wings;23
1070;PURIFICATION;Atlantis Poseidon's Trident;10
1071;PURIFICATION;Adamantine Apollo's Lyre;12
1072;CHAOS;Golden Ares' Sword;17
1073;AURORA;Amethyst Athena's Spear;24
1074;PURIFICATION;Mythic Hephaestus' Hammer;14
1075;PURIFICATION;Transcendent Hephaestus' Hammer;16
1076;AURORA;Adamantine Artemis' Bow;21
1077;AURORA;Transcendent Hera's Staff;21
1078;CHAOS;Adamantine Artemis' Quiver;17
1079;PURIFICATION;Skybound Poseidon's Trident;11
1080;PURIFICATION;Toxic Artemis' Quiver;13
1081;PURIFICATION;Adamantine Demeter's Scythe;15
1082;AURORA;Atlantis Athena's Spear;24
1083;PURIFICATION;Adamantine Artemis' Quiver;11
1084;AURORA;Amethyst Demeter's Scythe;24
1085;CHAOS;Skybound Demeter's Scythe;19
1086;AURORA;Transcendent The Aegis;22
1087;CHAOS;Adamantine The Aegis;19
1088;AURORA;Adamantine Hermes' Wings;21
1089;CHAOS;Mythic Artemis' Bow;18
1090;AURORA;Coral Athena's Spear;22
1091;PURIFICATION;Golden Artemis' Bow;16
1092;CHAOS;Coral Demeter's Scythe;18
1093;PURIFICATION;Agno Artemis' Quiver;11
1094;CHAOS;Adamantine Hades' Bident;18
1095;CHAOS;Amethyst Ares' Spear;20
1096;CHAOS;Emerald Hera's Staff;20
1097;CHAOS;Amethyst Poseidon's Trident;19
1098;CHAOS;Agno Athena's Spear;20
1099;CHAOS;Adamantine Apollo's Lyre;19
1100;CHAOS;Atlantis Artemis' Quiver;20
1101;PURIFICATION;Mercuris Apollo's Lyre;13
1102;AURORA;Mythic Hades' Bident;21
1103;CHAOS;Transcendent Apollo's Lyre;18
1104;PURIFICATION;Golden Ares' Sword;16
1105;CHAOS;Golden Poseidon's Trident;18
1106;CHAOS;Golden Artemis' Quiver;17
1107;CHAOS;Mercuris Hera's Staff;19
1108;CHAOS;Amethyst Ares' Spear;18
1109;PURIFICATION;Skybound Hades' Bident;16
1110;PURIFICATION;Transcendent Artemis' Bow;10
1111;AURORA;Skybound Poseidon's Trident;24
1112;PURIFICATION;Emerald Poseidon's Trident;13
1113;ASTRAL;Mercuris Hephaestus' Hammer;41
1114;CONJUNCTION;Adamantine Artemis' Quiver;29
1115;AURORA;Golden The Aegis;25
1116;AURORA;Transcendent Artemis' Bow;21
1117;AURORA;Atlantis Artemis' Quiver;22
1118;AURORA;Mythic Ares' Sword;24
1119;CONJUNCTION;Adamantine Hera's Staff;26
1120;PURIFICATION;Mercuris Artemis' Bow;16
1121;PURIFICATION;Agno Artemis' Bow;10
1122;PURIFICATION;Skybound Zeus' Thunderbolt;15
1123;CHAOS;Coral Artemis' Bow;17
1124;PURIFICATION;Amethyst Hephaestus' Hammer;14
1125;AURORA;Coral Hephaestus' Hammer;21
1126;CHAOS;Emerald Ares' Sword;17
1127;CHAOS;Mythic Zeus' Thunderbolt;19
1128;AURORA;Mercuris Demeter's Scythe;24
1129;AURORA;Adamantine Ares' Spear;21
1130;CONJUNCTION;Adamantine Hermes' Wings;30
1131;CHAOS;Amethyst Hermes' Wings;19
1132;PURIFICATION;Adamantine Artemis' Quiver;14
1133;PURIFICATION;Atlantis Ares' Sword;16
1134;CHAOS;Coral Hephaestus' Hammer;18
1135;CHAOS;Mercuris Zeus' Thunderbolt;20
1136;PURIFICATION;Toxic Poseidon's Trident;10
1137;AURORA;Mercuris Hermes' Wings;24
1138;PURIFICATION;Skybound Poseidon's Trident;12
1139;CHAOS;Golden Poseidon's Trident;17
1140;PURIFICATION;Emerald Hades' Bident;10
1141;PURIFICATION;Atlantis Artemis' Bow;10
1142;CHAOS;Amethyst Artemis' Bow;18
1143;CHAOS;Transcendent Ares' Spear;17
1144;CHAOS;Golden Athena's Spear;17
1145;AURORA;Coral Hephaestus' Hammer;25
1146;CHAOS;Golden Hera's Staff;20
1147;PURIFICATION;Atlantis Poseidon's Trident;11
1148;AURORA;Adamantine Artemis' Bow;21
1149;AURORA;Golden Athena's Spear;22
1150;CONJUNCTION;Golden Ares' Spear;30
1151;CHAOS;Coral Demeter's Scythe;20
1152;PURIFICATION;Amethyst Artemis' Bow;10
